NaN,NaN,NaN,NaN,NaN,NaN,0.009,0.014,0.018,0.021,0.024,0.024,0.020,0.014,0.006,-0.004,-0.015,-0.023,-0.033,-0.038,-0.037,-0.038,-0.030,-0.020,-0.008,0.005,0.020,0.029,0.041,0.044,0.044,0.041,NaN,0.023,0.012,-0.002,-0.018,-0.028,-0.037,-0.044,-0.044,-0.042,-0.036,-0.024,-0.012,0.001,0.011,0.023,0.031,0.032,0.033,0.030,0.025,0.016,0.009,0.001,-0.006,-0.012,-0.014,NaN,NaN,NaN,NaN,NaN,376595800.000
NaN,NaN,NaN,NaN,NaN,NaN,0.005,0.009,0.017,0.021,0.025,0.027,0.024,0.019,0.012,0.002,-0.008,-0.019,-0.028,-0.035,-0.037,-0.041,-0.035,-0.026,-0.013,-0.001,0.015,0.025,0.038,0.043,0.045,0.043,NaN,0.026,0.012,-0.001,-0.016,-0.029,-0.038,-0.044,-0.043,-0.040,-0.033,-0.022,-0.009,0.004,0.015,0.027,0.030,0.034,0.034,0.030,0.023,0.013,0.004,-0.003,-0.010,-0.015,-0.016,NaN,NaN,NaN,NaN,NaN,376595852.000
NaN,NaN,NaN,NaN,NaN,NaN,0.017,0.019,0.020,0.018,0.014,0.008,0.001,-0.006,-0.015,-0.023,-0.031,-0.034,-0.036,-0.036,-0.032,-0.025,-0.017,-0.005,0.006,0.020,0.031,0.038,0.045,0.046,0.043,0.038,NaN,0.020,0.008,-0.007,-0.018,-0.028,-0.038,-0.042,-0.044,-0.041,-0.037,-0.029,-0.021,-0.009,0.002,0.013,0.022,0.028,0.031,0.032,0.031,0.027,0.020,0.012,0.007,-0.001,-0.006,NaN,NaN,NaN,NaN,NaN,376595904.000
NaN,NaN,NaN,NaN,NaN,NaN,0.004,0.009,0.015,0.020,0.024,0.027,0.023,0.021,0.013,0.003,-0.009,-0.019,-0.027,-0.034,-0.038,-0.041,-0.033,-0.025,-0.013,-0.001,0.012,0.025,0.037,0.042,0.045,0.043,NaN,0.026,0.012,-0.001,-0.016,-0.026,-0.038,-0.041,-0.044,-0.039,-0.033,-0.024,-0.010,0.004,0.015,0.026,0.031,0.035,0.034,0.028,0.022,0.014,0.005,-0.002,-0.010,-0.015,-0.016,NaN,NaN,NaN,NaN,NaN,376595955.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.001,0.004,0.011,0.018,0.023,0.026,0.029,0.025,0.019,0.009,-0.002,-0.013,-0.023,-0.034,-0.038,-0.042,-0.039,-0.031,-0.019,-0.007,0.009,0.021,0.035,0.042,0.044,0.042,NaN,0.026,0.013,-0.001,-0.016,-0.028,-0.037,-0.043,-0.045,-0.039,-0.032,-0.019,-0.005,0.008,0.019,0.029,0.033,0.033,0.032,0.026,0.018,0.009,-0.001,-0.008,-0.013,-0.019,-0.018,NaN,NaN,NaN,NaN,NaN,376596006.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.005,0.001,0.008,0.014,0.022,0.026,0.029,0.026,0.020,0.010,-0.001,-0.013,-0.024,-0.033,-0.036,-0.040,-0.034,-0.027,-0.011,0.000,0.019,0.027,0.044,0.047,0.044,0.040,NaN,0.013,-0.002,-0.019,-0.033,-0.039,-0.045,-0.044,-0.037,-0.027,-0.012,0.002,0.015,0.027,0.032,0.038,0.035,0.030,0.019,0.010,-0.002,-0.009,-0.017,-0.023,-0.021,-0.020,-0.016,NaN,NaN,NaN,NaN,NaN,376596058.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.005,0.000,0.006,0.013,0.021,0.025,0.029,0.026,0.021,0.013,0.001,-0.011,-0.022,-0.033,-0.038,-0.040,-0.035,-0.028,-0.016,-0.001,0.014,0.027,0.042,0.045,0.044,0.040,NaN,0.018,0.004,-0.014,-0.030,-0.037,-0.042,-0.043,-0.040,-0.030,-0.017,-0.001,0.013,0.023,0.032,0.037,0.037,0.032,0.021,0.009,0.001,-0.009,-0.015,-0.021,-0.022,-0.020,-0.016,NaN,NaN,NaN,NaN,NaN,376596109.000
NaN,NaN,NaN,NaN,NaN,NaN,0.015,0.019,0.022,0.022,0.021,0.018,0.011,0.002,-0.006,-0.014,-0.024,-0.030,-0.038,-0.037,-0.035,-0.032,-0.022,-0.011,0.002,0.013,0.027,0.036,0.043,0.044,0.042,0.040,NaN,0.018,0.005,-0.009,-0.022,-0.031,-0.040,-0.043,-0.044,-0.041,-0.032,-0.023,-0.010,0.002,0.014,0.024,0.029,0.033,0.034,0.031,0.025,0.018,0.009,0.002,-0.006,-0.011,-0.013,NaN,NaN,NaN,NaN,NaN,376596161.000
NaN,NaN,NaN,NaN,NaN,NaN,0.010,0.015,0.020,0.022,0.025,0.022,0.019,0.011,0.002,-0.009,-0.019,-0.029,-0.035,-0.039,-0.037,-0.035,-0.027,-0.018,-0.004,0.009,0.023,0.031,0.042,0.045,0.045,0.040,NaN,0.019,0.008,-0.007,-0.023,-0.030,-0.039,-0.043,-0.045,-0.040,-0.033,-0.021,-0.007,0.006,0.017,0.025,0.031,0.033,0.033,0.029,0.022,0.016,0.005,-0.001,-0.007,-0.014,-0.016,NaN,NaN,NaN,NaN,NaN,376596213.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.004,0.002,0.009,0.014,0.024,0.026,0.028,0.024,0.018,0.008,-0.003,-0.016,-0.026,-0.034,-0.037,-0.042,-0.034,-0.023,-0.009,0.003,0.022,0.030,0.045,0.045,0.042,0.036,NaN,0.009,-0.007,-0.020,-0.035,-0.041,-0.044,-0.042,-0.036,-0.025,-0.009,0.006,0.018,0.027,0.034,0.040,0.035,0.029,0.017,0.007,-0.004,-0.013,-0.019,-0.023,-0.022,-0.019,-0.014,NaN,NaN,NaN,NaN,NaN,376596265.000
